id,text,title,description,category
1,Hello world,Introduction,A simple greeting,greeting
2,Good morning,Morning greeting,A polite morning greeting,greeting
3,How are you?,Question,Common question about well-being,question
4,Thank you very much,Gratitude,Expression of thanks,gratitude
5,See you later,Farewell,A common farewell expression,farewell
6,This is a test,Test statement,Used for testing,test
7,Machine learning is amazing,ML statement,Opinion about ML,technology
8,Artificial intelligence will change the world,AI statement,Prediction about AI,technology
9,Python is easy to learn,Programming statement,Opinion about Python,technology
10,This dataset is useful,Dataset statement,Statement about datasets,data